,open,high,low,close,adj close,volume
2020-12-09,4.735,4.879,4.562,4.804,4.804,1601129.0
2020-12-10,4.803,4.822,4.65,4.655,4.655,969916.0
2020-12-11,4.657,4.863,4.482,4.707,4.707,1870924.0
2020-12-12,4.71,5.118,4.698,5.06,5.06,1561574.0
2020-12-13,5.06,5.369,5.051,5.195,5.195,2200149.0
2020-12-14,5.198,5.33,5.032,5.227,5.227,1607324.0
2020-12-15,5.229,5.361,5.056,5.291,5.291,1420975.0
2020-12-16,5.291,5.505,5.15,5.494,5.494,3269784.0
2020-12-17,5.487,5.73,5.265,5.354,5.354,2726673.0
2020-12-18,5.354,5.45,5.187,5.329,5.329,1477854.0
2020-12-19,5.33,5.439,5.25,5.289,5.289,1617579.0
2020-12-20,5.286,5.36,4.901,5.036,5.036,2014721.0
2020-12-21,5.031,5.157,4.793,5.031,5.031,1325974.0
2020-12-22,5.03,5.103,4.725,4.943,4.943,1397845.0
2020-12-23,4.944,4.997,4.2,4.395,4.395,2614969.0
2020-12-24,4.395,4.999,4.224,4.959,4.959,2068214.0
2020-12-25,4.961,5.053,4.745,4.909,4.909,1364368.0
2020-12-26,4.908,4.967,4.731,4.81,4.81,1262506.0
2020-12-27,4.811,5.024,4.571,4.842,4.842,2404495.0
2020-12-28,4.843,5.61,4.791,5.391,5.391,3967006.0
2020-12-29,5.387,5.69,5.034,5.622,5.622,4829608.0
2020-12-30,5.624,5.84,5.391,5.424,5.424,3895574.0
2020-12-31,5.424,6.495,5.24,6.465,6.465,5306477.0
2021-01-01,6.468,6.5,5.588,5.861,5.861,6358513.0
2021-01-02,5.859,5.881,5.18,5.42,5.42,8825384.0
2021-01-03,5.416,5.911,5.279,5.829,5.829,4949867.0
2021-01-04,5.831,6.269,5.259,6.044,6.044,6927475.0
2021-01-05,6.044,6.383,5.64,6.196,6.196,5022610.0
2021-01-06,6.201,6.954,5.86,6.682,6.682,6774124.0
2021-01-07,6.689,6.843,6.0,6.264,6.264,5038404.0
2021-01-08,6.266,6.343,5.66,5.931,5.931,5120149.0
2021-01-09,5.929,6.748,5.811,6.54,6.54,5824097.0
2021-01-10,6.544,7.142,5.972,6.409,6.409,7826922.0
2021-01-11,6.411,6.453,5.0,5.726,5.726,8444310.0
2021-01-12,5.717,6.15,5.5,5.711,5.711,4231481.0
2021-01-13,5.711,6.26,5.543,6.242,6.242,2968674.0
2021-01-14,6.243,6.59,6.137,6.476,6.476,5545983.0
2021-01-15,6.482,8.5,6.449,7.896,7.896,21196989.0
2021-01-16,7.888,9.6,7.537,9.03,9.03,14794069.0
2021-01-17,9.032,9.202,8.009,8.544,8.544,7624184.0
2021-01-18,8.545,9.866,8.487,9.539,9.539,9182788.0
2021-01-19,9.546,10.2,8.826,8.891,8.891,5433238.0
2021-01-20,8.9,9.479,7.95,8.909,8.909,6129562.0
2021-01-21,8.903,8.96,7.035,7.177,7.177,5782656.0
2021-01-22,7.178,8.464,6.603,7.985,7.985,5929008.0
2021-01-23,7.983,8.68,7.849,8.329,8.329,4169853.0
2021-01-24,8.338,8.792,7.7,8.24,8.24,4075946.0
2021-01-25,8.246,8.55,7.669,7.738,7.738,3481469.0
2021-01-26,7.74,7.96,7.366,7.732,7.732,2865384.0
2021-01-27,7.726,7.97,6.763,6.953,6.953,5157639.0
2021-01-28,6.96,8.55,6.804,8.041,8.041,7824119.0
2021-01-29,8.044,8.542,7.678,7.975,7.975,4995228.0
2021-01-30,7.978,8.308,7.754,8.048,8.048,2714072.0
2021-01-31,8.052,8.9,7.691,8.145,8.145,5688232.0
2021-02-01,8.145,9.296,7.828,9.29,9.29,5908698.0
2021-02-02,9.29,9.34,8.7,8.893,8.893,3897416.0
2021-02-03,8.893,9.419,8.75,9.303,9.303,4436227.0
2021-02-04,9.303,9.5,8.636,9.152,9.152,3885308.0
2021-02-05,9.158,12.878,9.01,12.19,12.19,11798935.0
2021-02-06,12.191,13.7,11.265,12.087,12.087,9331824.0
2021-02-07,12.087,14.126,11.394,13.841,13.841,10002469.0
2021-02-08,13.822,15.01,13.233,14.169,14.169,8350155.0
2021-02-09,14.169,15.483,13.792,15.057,15.057,5191355.0
2021-02-10,15.052,15.58,13.55,14.965,14.965,5850558.0
2021-02-11,14.97,18.476,14.775,17.652,17.652,7631682.0
2021-02-12,17.63,22.157,17.27,21.076,21.076,10531076.0
2021-02-13,21.071,22.058,19.101,20.248,20.248,5139992.0
2021-02-14,20.244,20.697,18.466,19.084,19.084,3417639.0
